"Timestamp","Płeć","Wiek","Jak dalece zgadzasz się lub nie zgadzasz z następującymi zdaniami opisującymi Twój aktualny nastrój? [Jestem w złym humorze.]","Jak dalece zgadzasz się lub nie zgadzasz z następującymi zdaniami opisującymi Twój aktualny nastrój? [Czuję się świetnie.]","Jak dalece zgadzasz się lub nie zgadzasz z następującymi zdaniami opisującymi Twój aktualny nastrój? [Jestem w złym nastroju.]","Jak dalece zgadzasz się lub nie zgadzasz z następującymi zdaniami opisującymi Twój aktualny nastrój? [Czuję się rozluźniony i spokojny.]","Jak dalece zgadzasz się lub nie zgadzasz z następującymi zdaniami opisującymi Twój aktualny nastrój? [Czuję się szaro i beznadziejnie.]","Jak dalece zgadzasz się lub nie zgadzasz z następującymi zdaniami opisującymi Twój aktualny nastrój? [Jestem w dobrym humorze.]","Jak dalece zgadzasz się lub nie zgadzasz z następującymi zdaniami opisującymi Twój aktualny nastrój? [Jestem pogodny.]","Jak dalece zgadzasz się lub nie zgadzasz z następującymi zdaniami opisującymi Twój aktualny nastrój? [Czuję się przygnębiony.]","Jak dalece zgadzasz się lub nie zgadzasz z następującymi zdaniami opisującymi Twój aktualny nastrój? [Moje samopoczucie jest złe.]","Jak dalece zgadzasz się lub nie zgadzasz z następującymi zdaniami opisującymi Twój aktualny nastrój? [Moje samopoczucie jest dobre.]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Radość]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Niepokój]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Strach]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Miłość]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Gniew]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Wesołość]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Upokorzenie]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Smutek]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Wzburzenie]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Lęk]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Żal ]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Obawa]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Złość]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Załamanie]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Szczęście]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Wściekłość]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Oddanie]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Zadowolenie]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Czułość]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Wstyd]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Poczucie winy]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Przywiązanie]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Depresja]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Nieszczęście]","Ile godzin średnio przesypiasz w ciągu doby?","Czy masz wyznaczone pory snu?","Jak oceniasz jakość swojego snu?","Ile godzin tygodniowo poświęcasz na sport?","Jaki środek transportu wybierasz najczęściej?","Jak oceniasz swoją kondycję fizyczną?","Ile godzin (średnio) w ciągu dnia korzystasz z urządzeń elektronicznych (komputer, laptop, tablet) pracując lub ucząc się?","Ile godzin dziennie poświęcasz na korzystanie z urządzeń w celach rozrywkowych?","Czy zdarza Ci się mieć poczucie, że za dużo czasu spędzasz korzystając z urządzeń elektronicznych?","Co przeważa w Twojej diecie?","Jaką wagę przywiązujesz do jakości swoich posiłków?","Jak oceniasz regularność swoich posiłków?","Czy masz kogoś, na kim możesz polegać w trudnej sytuacji?","Z iloma osobami utrzymujesz regularny kontakt w celach towarzyskich?","Jakie znaczenie mają dla Ciebie kontakty z innymi ludźmi?"
"2019/11/01 10:02:11 AM GMT+1","mężczyzna","18","nie zgadzam się","raczej się nie zgadzam","raczej się nie zgadzam","raczej się nie zgadzam","trochę tak, trochę nie","trochę tak, trochę nie","raczej się zgadzam","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","czasami","często","czasami","bardzo rzadko","czasami","czasami","nigdy","czasami","rzadko","czasami","rzadko","czasami","czasami","często","rzadko","rzadko","bardzo rzadko","rzadko","rzadko","bardzo rzadko","czasami","czasami","często","bardzo często","6-8","3","2","mniej niż 1","samochód","2","3 - 5","więcej niż 4","często","mięso i ciężkostrawne potrawy","staram się jeść zdrowo, ale mi nie wychodzi :(","różnie z tym bywa","na ogół mam do kogo zwrócić się z problemem","5 i więcej","3"
"2019/11/01 10:19:38 AM GMT+1","mężczyzna","15","nie zgadzam się","trochę tak, trochę nie","nie zgadzam się","raczej się zgadzam","nie zgadzam się","raczej się zgadzam","raczej się zgadzam","nie zgadzam się","nie zgadzam się","raczej się zgadzam","często","czasami","rzadko","rzadko","rzadko","często","czasami","czasami","rzadko","rzadko","rzadko","rzadko","rzadko","rzadko","czasami","rzadko","rzadko","czasami","rzadko","czasami","rzadko","rzadko","bardzo rzadko","bardzo rzadko","6-8","1","2","więcej niż 4","komunikacja miejska","4","mniej niż 3","1 - 2","czasami","żywność mocno przetworzona (mrożonki, gotowe dania)","nie jest to moim priorytetem","jem nieregularnie","z rodziną/znajomymi nie poruszam poważnych tematów","4 - 5","3"
"2019/11/01 10:20:18 AM GMT+1","mężczyzna","20","nie zgadzam się","trochę tak, trochę nie","nie zgadzam się","raczej się zgadzam","nie zgadzam się","raczej się zgadzam","trochę tak, trochę nie","raczej się nie zgadzam","nie zgadzam się","zgadzam się","bardzo często","czasami","nigdy","bardzo rzadko","bardzo rzadko","bardzo często","nigdy","rzadko","bardzo rzadko","nigdy","rzadko","czasami","bardzo rzadko","bardzo rzadko","często","nigdy","bardzo często","bardzo często","bardzo często","bardzo rzadko","nigdy","rzadko","nigdy","rzadko","6-8","2","4","1 - 2,5","komunikacja miejska","3","mniej niż 3","1 - 2","rzadko","mam zbilansowaną dietę","nie jest to moim priorytetem","różnie z tym bywa","na ogół mam do kogo zwrócić się z problemem","4 - 5","5"
"2019/11/01 10:46:14 AM GMT+1","kobieta","21","nie zgadzam się","trochę tak, trochę nie","raczej się nie zgadzam","trochę tak, trochę nie","nie zgadzam się","raczej się zgadzam","raczej się zgadzam","raczej się nie zgadzam","raczej się nie zgadzam","trochę tak, trochę nie","często","bardzo często","często","czasami","często","bardzo często","rzadko","często","rzadko","rzadko","bardzo rzadko","bardzo często","często","rzadko","czasami","często","rzadko","rzadko","rzadko","czasami","często","czasami","często","często","6-8","4","3","mniej niż 1","komunikacja miejska","3","mniej niż 3","2 - 3","często","mam zbilansowaną dietę","staram się jeść zdrowo, ale mi nie wychodzi :(","różnie z tym bywa","mam osoby, z którymi mogę porozmawiać o wszystkim","5 i więcej","4"
"2019/11/01 10:48:39 AM GMT+1","kobieta","21","raczej się nie zgadzam","raczej się nie zgadzam","raczej się nie zgadzam","trochę tak, trochę nie","raczej się nie zgadzam","raczej się nie zgadzam","raczej się nie zgadzam","raczej się nie zgadzam","raczej się nie zgadzam","raczej się nie zgadzam","czasami","często","często","zawsze","czasami","często","rzadko","bardzo często","często","często","rzadko","bardzo często","czasami","często","często","czasami","rzadko","często","bardzo często","rzadko","czasami","zawsze","rzadko","rzadko","8-10","4","3","1 - 2,5","komunikacja miejska","3","5 - 8","2 - 3","czasami","mam zbilansowaną dietę","jest to dla mnie dość ważne","staram się jeść regularnie","na ogół mam do kogo zwrócić się z problemem","4 - 5","4"
"2019/11/01 12:32:44 PM GMT+1","mężczyzna","22","nie zgadzam się","raczej się zgadzam","nie zgadzam się","zgadzam się","nie zgadzam się","raczej się zgadzam","trochę tak, trochę nie","nie zgadzam się","nie zgadzam się","zgadzam się","czasami","nigdy","nigdy","często","czasami","bardzo często","nigdy","nigdy","czasami","bardzo rzadko","nigdy","bardzo rzadko","bardzo rzadko","nigdy","często","bardzo rzadko","bardzo rzadko","często","często","nigdy","nigdy","czasami","nigdy","nigdy","8-10","3","4","więcej niż 4","samochód","3","5 - 8","3 - 4","czasami","mam zbilansowaną dietę","nie jest to moim priorytetem","różnie z tym bywa","mam osoby, z którymi mogę porozmawiać o wszystkim","5 i więcej","4"
"2019/11/01 12:47:33 PM GMT+1","mężczyzna","21","raczej się nie zgadzam","raczej się nie zgadzam","raczej się nie zgadzam","zgadzam się","raczej się nie zgadzam","raczej się zgadzam","zgadzam się","raczej się nie zgadzam","raczej się nie zgadzam","trochę tak, trochę nie","często","czasami","bardzo rzadko","bardzo rzadko","często","czasami","często","rzadko","często","czasami","bardzo rzadko","często","często","czasami","często","nigdy","nigdy","czasami","nigdy","czasami","bardzo rzadko","nigdy","nigdy","bardzo rzadko","4-6","3","2","2,5 - 4","komunikacja miejska","3","mniej niż 3","3 - 4","bardzo często","mam zbilansowaną dietę","jest to dla mnie dość ważne","staram się jeść regularnie","na ogół mam do kogo zwrócić się z problemem","2 - 3","3"
"2019/11/01 12:49:49 PM GMT+1","mężczyzna","35","raczej się nie zgadzam","raczej się zgadzam","nie zgadzam się","trochę tak, trochę nie","raczej się nie zgadzam","raczej się zgadzam","trochę tak, trochę nie","trochę tak, trochę nie","nie zgadzam się","raczej się zgadzam","czasami","często","często","rzadko","rzadko","czasami","nigdy","bardzo często","rzadko","nigdy","często","rzadko","rzadko","rzadko","często","bardzo rzadko","bardzo rzadko","często","nigdy","nigdy","bardzo rzadko","nigdy","nigdy","bardzo rzadko","6-8","5","4","1 - 2,5","komunikacja miejska","3","5 - 8","mniej niż 1","rzadko","fast food","jest to dla mnie dość ważne","zazwyczaj jem regularnie","mam osoby, z którymi mogę porozmawiać o wszystkim","2 - 3","5"
"2019/11/01 1:06:23 PM GMT+1","kobieta","39","raczej się nie zgadzam","raczej się nie zgadzam","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","raczej się nie zgadzam","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","czasami","czasami","rzadko","czasami","czasami","czasami","bardzo rzadko","rzadko","czasami","bardzo rzadko","bardzo rzadko","bardzo rzadko","czasami","bardzo rzadko","czasami","rzadko","czasami","czasami","bardzo rzadko","bardzo rzadko","czasami","czasami","nigdy","nigdy","6-8","4","2","nie uprawiam żadnego sportu","komunikacja miejska","2","3 - 5","2 - 3","czasami","mam zbilansowaną dietę","staram się jeść zdrowo, ale mi nie wychodzi","staram się jeść regularnie","nie czuję się komfortowo rozmawiając na trudne tematy z rodziną/znajomymi","1","5"
"2019/11/01 1:11:25 PM GMT+1","kobieta","31","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","często","rzadko","bardzo rzadko","bardzo często","czasami","często","bardzo rzadko","rzadko","rzadko","bardzo rzadko","czasami","bardzo rzadko","bardzo rzadko","nigdy","bardzo często","rzadko","bardzo często","bardzo często","bardzo często","bardzo rzadko","nigdy","zawsze","nigdy","nigdy","6-8","5","3","nie uprawiam żadnego sportu","samochód","2","nie używam/rzadko używam komputera do pracy/nauki","mniej niż 1","rzadko","mięso i ciężkostrawne potrawy","nie jest to moim priorytetem","jem nieregularnie","na ogół mam do kogo zwrócić się z problemem","1","5"
